PassengerId,Pclass,Survived,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Boat,Body,Home/Dest
1,3,0,"Collyer, Mr. Mohammed",male,,0,0,2647,7.225,,C,,,
2,3,0,"Holthen, Mr. Brooks",male,,0,0,3410,8.7125,,S,,,
3,2,0,"Burke, Mr. Raul",male,28.0,0,0,248740,13.0,,S,,,"Helsinki, Finland Ashtabula, Ohio"
4,3,0,"Meek, Miss. Kate",female,14.5,1,0,2665,14.4542,,C,,328.0,
5,2,0,"Stanton, Mr. Daryl",male,50.0,1,0,SC/AH 3085,26.0,,S,,121.0,"Weston-Super-Mare, Somerset"
6,3,0,"O'Dwyer, Mr. Danial",male,39.0,0,0,3101296,7.925,,S,,,
7,1,0,"Foley, Mr. Ronnie",male,67.0,1,0,PC 17483,221.7792,C55 C57,S,,96.0,"New York, NY"
8,3,0,"Wells, Mr. Truman",male,,0,0,362316,7.25,,S,,,
9,3,1,"Ohman, Miss. Inez",female,22.0,0,0,7548,8.9625,,S,C,,
10,2,1,"Krekorian, Miss. Constance",female,40.0,0,0,31418,13.0,,S,9,,
11,3,1,"Robins, Miss. Cristina",female,1.0,1,1,PP 9549,16.7,G6,S,13,,
12,1,0,"Hipkins, Mr. Dale",male,55.0,0,0,680,50.0,C39,S,,,London / Birmingham
13,3,0,"Duquemin, Mr. Alphonse",male,39.0,0,0,A/4 48871,24.15,,S,,,
14,3,1,"Yrois, Mrs. Shelly",female,36.0,0,2,C.A. 37671,15.9,,S,2,,"England Brooklyn, NY"
15,3,0,"Petranec, Mr. Earnest",male,40.0,1,5,347077,31.3875,,S,,142.0,"Sweden  Worcester, MA"
16,3,0,"Peacock, Mr. Denver",male,,1,0,386525,16.1,,S,,,"Liverpool, England Bedford, OH"
17,1,0,"Bowerman, Mr. Brandon",male,71.0,0,0,PC 17754,34.6542,A5,C,,,"New York, NY"
18,3,0,"Lahtinen, Mr. Alva",male,,0,0,2681,6.4375,,C,,,
19,3,0,"Nicholls, Mr. Wilson",male,22.0,0,0,PP 4348,9.35,,S,,,"Tranvik, Finland New York"
20,3,0,"Roth, Mr. Xavier",male,18.0,1,1,350404,7.8542,,S,,,
21,3,0,"Potter, Mr. German",male,,0,0,366713,7.75,,Q,,,
22,2,1,"Balkic, Miss. Caroline",female,26.0,0,0,220844,13.5,,S,9,,"Yoevil, England / Cottage Grove, OR"
23,3,0,"McKane, Mr. Harris",male,50.0,0,0,A/5 3594,8.05,,S,,,
24,2,0,"Radeff, Mr. Otis",male,,0,0,SC/PARIS 2131,15.05,,C,,,
25,3,0,"Dennis, Mr. Merlin",male,,0,0,364498,14.5,,S,,,
26,2,0,"Turcin, Mr. Rodrigo",male,47.0,0,0,C.A. 30769,10.5,,S,,,Cornwall
27,3,0,"Milling, Miss. Christie",female,,8,2,CA. 2343,69.55,,S,,,
28,1,0,"Duane, Mr. Carlos",male,42.0,0,0,113038,42.5,B11,S,,,London / Middlesex
29,3,0,"Smart, Mr. Hugo",male,19.0,0,0,349231,7.8958,,S,,,Austria
30,3,0,"Rasmussen, Mr. Simon",male,21.0,0,0,54636,16.1,,S,,,"Treherbert, Cardiff, Wales"
31,3,1,"Kvillner, Miss. Kelli",female,22.0,0,0,334914,7.725,,Q,13,,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY"
32,3,0,"Badman, Master. Dion",male,2.0,4,1,3101295,39.6875,,S,,,
33,1,0,"Gavey, Mr. Gregg",male,62.0,0,0,113514,26.55,C87,S,,,"Wimbledon Park, London / Hayling Island, Hants"
34,1,1,"Lindblom, Miss. Florence",female,30.0,0,0,12749,93.5,B73,S,3,,
35,3,1,"Petranec, Miss. Gwendolyn",female,5.0,4,2,347077,31.3875,,S,15,,"Sweden Worcester, MA"
36,3,0,"Bourke, Miss. Henrietta",female,22.0,0,0,7553,9.8375,,S,,,
